user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5
5,2,12,1,0.061,0.123,0.72,0.04,0.056,0.0
1,2,13,1,0.346,0.0,0.413,0.04,0.077,0.124
2,0,13,2,0.6609999999999999,0.104,0.0,0.057,0.041,0.136
3,2,13,1,0.31,0.037,0.594,0.0,0.043,0.016
4,0,13,2,0.45,0.076,0.297,0.143,0.0,0.034
5,2,13,1,0.276,0.077,0.589,0.016,0.043,0.0
1,0,14,1,0.399,0.0,0.379,0.029,0.066,0.129
2,0,14,2,0.569,0.106,0.0,0.07,0.11,0.146
3,2,14,1,0.194,0.049,0.679,0.0,0.063,0.016
4,0,14,2,0.424,0.083,0.313,0.13,0.0,0.05
5,2,14,1,0.24,0.084,0.619,0.02,0.037,0.0
1,0,15,1,0.419,0.0,0.374,0.029,0.06,0.119
2,0,15,2,0.536,0.079,0.0,0.09,0.131,0.1639999999999999
3,2,15,1,0.13,0.056,0.7509999999999999,0.0,0.054,0.009
4,2,15,2,0.269,0.111,0.394,0.151,0.0,0.074
5,2,15,1,0.147,0.127,0.653,0.033,0.04,0.0
1,0,16,1,0.4370000000000001,0.0,0.3229999999999999,0.043,0.066,0.131
2,0,16,2,0.596,0.086,0.0,0.071,0.106,0.141
3,2,16,1,0.166,0.06,0.643,0.0,0.104,0.027
4,0,16,2,0.447,0.059,0.299,0.147,0.0,0.049
5,2,16,1,0.261,0.091,0.361,0.05,0.236,0.0
1,0,17,1,0.49,0.0,0.13,0.087,0.12,0.173
2,0,17,2,0.657,0.099,0.0,0.061,0.043,0.14
3,2,17,1,0.14,0.08,0.637,0.0,0.114,0.029
4,0,17,2,0.386,0.069,0.25,0.14,0.0,0.156
5,4,17,1,0.133,0.023,0.076,0.069,0.7,0.0
1,4,18,1,0.199,0.0,0.187,0.097,0.424,0.093
2,0,18,2,0.633,0.101,0.0,0.06,0.08,0.126
3,2,18,1,0.09,0.086,0.657,0.0,0.139,0.029
4,2,18,2,0.1,0.123,0.326,0.151,0.0,0.3
5,4,18,1,0.04,0.024,0.103,0.251,0.581,0.0
1,2,19,1,0.179,0.0,0.306,0.113,0.22,0.183
2,0,19,2,0.6459999999999999,0.096,0.0,0.059,0.066,0.134
3,2,19,1,0.093,0.081,0.6829999999999999,0.0,0.114,0.029
4,2,19,2,0.099,0.143,0.361,0.199,0.0,0.199
5,3,19,1,0.039,0.036,0.197,0.616,0.113,0.0
1,2,20,1,0.18,0.0,0.329,0.111,0.189,0.191
2,0,20,2,0.639,0.097,0.0,0.069,0.071,0.124
3,2,20,1,0.083,0.1,0.639,0.0,0.15,0.029
4,2,20,2,0.101,0.134,0.397,0.203,0.0,0.1639999999999999
5,3,20,1,0.034,0.047,0.206,0.52,0.193,0.0
1,4,21,1,0.074,0.0,0.171,0.064,0.623,0.067
2,4,21,2,0.1689999999999999,0.049,0.0,0.023,0.696,0.064
3,4,21,1,0.111,0.127,0.117,0.0,0.5710000000000001,0.073
4,2,21,2,0.26,0.147,0.331,0.151,0.0,0.11
5,4,21,1,0.047,0.031,0.05,0.069,0.8029999999999999,0.0
1,4,22,1,0.15,0.0,0.124,0.166,0.45,0.11
2,4,22,2,0.183,0.076,0.0,0.04,0.61,0.091
3,2,22,1,0.121,0.103,0.389,0.0,0.34,0.047
4,0,22,2,0.5329999999999999,0.14,0.141,0.117,0.0,0.069
5,2,22,1,0.069,0.129,0.431,0.044,0.327,0.0
1,4,23,1,0.271,0.0,0.17,0.149,0.309,0.101
2,0,23,2,0.633,0.083,0.0,0.071,0.071,0.141
3,2,23,1,0.157,0.077,0.633,0.0,0.106,0.027
4,0,23,2,0.266,0.217,0.253,0.214,0.0,0.05
5,0,23,1,0.534,0.144,0.133,0.1,0.089,0.0
1,2,24,1,0.133,0.0,0.273,0.237,0.26,0.097
2,0,24,2,0.5,0.089,0.0,0.079,0.19,0.143
3,2,24,1,0.06,0.104,0.693,0.0,0.114,0.029
4,5,24,2,0.1369999999999999,0.21,0.19,0.166,0.0,0.297
5,0,24,1,0.349,0.209,0.226,0.131,0.086,0.0
1,3,25,1,0.056,0.0,0.071,0.726,0.043,0.104
2,0,25,2,0.6609999999999999,0.104,0.0,0.067,0.039,0.129
3,4,25,1,0.066,0.047,0.12,0.0,0.6659999999999999,0.101
4,5,25,2,0.037,0.119,0.103,0.124,0.0,0.617
5,2,25,1,0.246,0.207,0.344,0.12,0.083,0.0
1,3,26,1,0.089,0.0,0.109,0.594,0.096,0.113
2,0,26,2,0.507,0.123,0.0,0.054,0.196,0.12
3,4,26,1,0.05,0.043,0.09,0.0,0.66,0.157
4,0,26,2,0.257,0.201,0.199,0.206,0.0,0.1369999999999999
5,2,26,1,0.083,0.121,0.664,0.057,0.074,0.0
1,4,27,1,0.094,0.0,0.251,0.096,0.43,0.129
2,4,27,2,0.374,0.096,0.0,0.044,0.394,0.091
3,4,27,1,0.054,0.029,0.081,0.0,0.6890000000000001,0.147
4,0,27,2,0.269,0.213,0.236,0.209,0.0,0.074
5,4,27,1,0.114,0.116,0.194,0.144,0.431,0.0
1,4,28,1,0.116,0.0,0.209,0.106,0.394,0.176
2,4,28,2,0.141,0.091,0.0,0.031,0.659,0.077
3,4,28,1,0.086,0.056,0.273,0.0,0.491,0.094
4,0,28,2,0.436,0.181,0.154,0.149,0.0,0.08
5,2,28,1,0.086,0.111,0.43,0.093,0.28,0.0
1,2,29,1,0.077,0.0,0.653,0.08,0.081,0.109
2,4,29,2,0.223,0.101,0.0,0.036,0.5529999999999999,0.087
3,2,29,1,0.073,0.103,0.677,0.0,0.124,0.023
4,2,29,2,0.26,0.106,0.48,0.101,0.0,0.053
5,2,29,1,0.109,0.146,0.371,0.156,0.219,0.0
1,2,30,1,0.086,0.0,0.544,0.084,0.181,0.104
2,0,30,2,0.466,0.094,0.0,0.063,0.273,0.104
3,4,30,1,0.059,0.067,0.194,0.0,0.5670000000000001,0.113
4,2,30,2,0.111,0.23,0.304,0.251,0.0,0.103
5,4,30,1,0.097,0.099,0.133,0.216,0.456,0.0
1,4,31,1,0.191,0.0,0.184,0.129,0.26,0.236
2,0,31,2,0.461,0.073,0.0,0.057,0.299,0.11
3,4,31,1,0.071,0.069,0.263,0.0,0.49,0.107
4,2,31,2,0.103,0.246,0.266,0.264,0.0,0.121
5,4,31,1,0.057,0.046,0.066,0.401,0.43,0.0
1,2,32,1,0.13,0.0,0.51,0.1,0.113,0.147
2,0,32,2,0.5489999999999999,0.083,0.0,0.041,0.206,0.121
3,4,32,1,0.17,0.196,0.279,0.0,0.287,0.069
4,3,32,2,0.1689999999999999,0.243,0.23,0.247,0.0,0.111
5,4,32,1,0.037,0.026,0.056,0.351,0.53,0.0
1,2,33,1,0.099,0.0,0.621,0.086,0.074,0.12
2,0,33,2,0.664,0.094,0.0,0.056,0.067,0.119
3,2,33,1,0.146,0.181,0.383,0.0,0.23,0.06
4,2,33,2,0.099,0.23,0.32,0.259,0.0,0.093
5,4,33,1,0.029,0.014,0.056,0.219,0.6829999999999999,0.0
1,2,34,1,0.094,0.0,0.616,0.086,0.081,0.123
2,0,34,2,0.67,0.103,0.0,0.071,0.034,0.121
3,2,34,1,0.177,0.136,0.466,0.0,0.184,0.037
4,3,34,2,0.074,0.214,0.309,0.327,0.0,0.076
5,4,34,1,0.036,0.013,0.083,0.131,0.737,0.0
1,2,35,1,0.096,0.0,0.629,0.083,0.089,0.104
2,0,35,2,0.617,0.081,0.0,0.039,0.143,0.12
3,2,35,1,0.1369999999999999,0.134,0.517,0.0,0.177,0.034
4,2,35,2,0.093,0.223,0.314,0.279,0.0,0.091
5,4,35,1,0.036,0.014,0.064,0.1689999999999999,0.7170000000000001,0.0
1,2,36,1,0.103,0.0,0.617,0.081,0.083,0.116
2,4,36,2,0.209,0.063,0.0,0.039,0.606,0.084
3,2,36,1,0.103,0.106,0.583,0.0,0.171,0.037
4,3,36,2,0.056,0.204,0.271,0.403,0.0,0.066
5,4,36,1,0.021,0.006,0.131,0.196,0.6459999999999999,0.0
1,2,37,1,0.091,0.0,0.626,0.089,0.086,0.109
2,0,37,2,0.5589999999999999,0.099,0.0,0.066,0.163,0.114
3,2,37,1,0.123,0.097,0.5770000000000001,0.0,0.171,0.031
4,3,37,2,0.049,0.18,0.233,0.48,0.0,0.059
5,4,37,1,0.03,0.01,0.094,0.19,0.6759999999999999,0.0
1,2,38,1,0.087,0.0,0.633,0.074,0.103,0.103
2,0,38,2,0.664,0.097,0.0,0.063,0.05,0.126
3,2,38,1,0.159,0.1639999999999999,0.4370000000000001,0.0,0.203,0.037
4,3,38,2,0.084,0.214,0.266,0.346,0.0,0.09
5,4,38,1,0.043,0.014,0.067,0.099,0.777,0.0
1,2,39,1,0.136,0.0,0.524,0.077,0.129,0.134
2,0,39,2,0.67,0.1,0.0,0.071,0.03,0.129
3,2,39,1,0.1669999999999999,0.161,0.421,0.0,0.213,0.037
4,2,39,2,0.11,0.224,0.289,0.277,0.0,0.1
5,4,39,1,0.044,0.014,0.057,0.1,0.784,0.0
1,4,40,1,0.096,0.0,0.281,0.08,0.466,0.077
2,0,40,2,0.54,0.064,0.0,0.057,0.231,0.107
3,4,40,1,0.101,0.117,0.357,0.0,0.401,0.023
4,3,40,2,0.101,0.21,0.257,0.339,0.0,0.093
5,4,40,1,0.049,0.014,0.049,0.093,0.7959999999999999,0.0
1,4,41,1,0.099,0.0,0.216,0.089,0.49,0.107
2,0,41,2,0.511,0.067,0.0,0.06,0.264,0.097
3,4,41,1,0.09,0.121,0.36,0.0,0.404,0.024
4,3,41,2,0.069,0.166,0.199,0.493,0.0,0.074
5,4,41,1,0.05,0.014,0.044,0.094,0.797,0.0
1,0,42,1,0.304,0.0,0.173,0.099,0.199,0.226
2,0,42,2,0.529,0.096,0.0,0.059,0.201,0.116
3,2,42,1,0.083,0.11,0.634,0.0,0.144,0.029
4,3,42,2,0.07,0.156,0.183,0.52,0.0,0.071
5,4,42,1,0.046,0.014,0.056,0.1,0.784,0.0
1,0,43,1,0.373,0.0,0.193,0.1,0.143,0.191
2,0,43,2,0.67,0.103,0.0,0.071,0.03,0.126
3,2,43,1,0.116,0.114,0.599,0.0,0.143,0.029
4,3,43,2,0.069,0.163,0.187,0.51,0.0,0.071
5,4,43,1,0.046,0.014,0.054,0.1,0.7859999999999999,0.0
1,0,44,1,0.319,0.0,0.131,0.107,0.204,0.239
2,0,44,2,0.62,0.103,0.0,0.07,0.089,0.119
3,2,44,1,0.091,0.111,0.617,0.0,0.153,0.027
4,3,44,2,0.063,0.171,0.2,0.494,0.0,0.071
5,4,44,1,0.043,0.017,0.056,0.12,0.764,0.0
1,0,45,1,0.387,0.0,0.129,0.101,0.16,0.223
2,0,45,2,0.593,0.093,0.0,0.066,0.119,0.13
3,2,45,1,0.107,0.117,0.616,0.0,0.131,0.029
4,3,45,2,0.064,0.17,0.206,0.489,0.0,0.071
5,4,45,1,0.047,0.014,0.053,0.1,0.7859999999999999,0.0
1,0,46,1,0.454,0.0,0.116,0.113,0.126,0.191
2,0,46,2,0.667,0.099,0.0,0.079,0.03,0.126
3,2,46,1,0.103,0.11,0.643,0.0,0.116,0.029
4,3,46,2,0.071,0.156,0.194,0.509,0.0,0.07
5,4,46,1,0.047,0.024,0.063,0.149,0.7170000000000001,0.0
1,0,47,1,0.509,0.0,0.111,0.09,0.114,0.176
2,0,47,2,0.67,0.1,0.0,0.073,0.029,0.129
3,2,47,1,0.071,0.116,0.67,0.0,0.114,0.029
4,3,47,2,0.063,0.166,0.206,0.493,0.0,0.073
5,4,47,1,0.047,0.017,0.057,0.136,0.743,0.0
1,0,48,1,0.479,0.0,0.099,0.076,0.173,0.174
2,0,48,2,0.541,0.103,0.0,0.07,0.16,0.126
3,2,48,1,0.064,0.109,0.6409999999999999,0.0,0.159,0.027
4,3,48,2,0.046,0.161,0.224,0.491,0.0,0.077
5,4,48,1,0.043,0.016,0.057,0.097,0.787,0.0
1,0,49,1,0.403,0.0,0.099,0.176,0.129,0.194
2,0,49,2,0.659,0.1,0.0,0.084,0.029,0.129
3,2,49,1,0.079,0.114,0.6609999999999999,0.0,0.117,0.029
4,3,49,2,0.05,0.17,0.221,0.486,0.0,0.073
5,3,49,1,0.051,0.047,0.086,0.604,0.211,0.0
1,0,50,1,0.301,0.0,0.156,0.157,0.157,0.229
2,0,50,2,0.659,0.076,0.0,0.059,0.07,0.1369999999999999
3,2,50,1,0.071,0.114,0.6709999999999999,0.0,0.114,0.029
4,3,50,2,0.056,0.173,0.219,0.47,0.0,0.083
5,4,50,1,0.043,0.033,0.064,0.306,0.5539999999999999,0.0
1,0,51,1,0.321,0.0,0.123,0.084,0.293,0.179
2,0,51,2,0.6,0.067,0.0,0.049,0.16,0.124
3,2,51,1,0.07,0.113,0.574,0.0,0.219,0.024
4,3,51,2,0.063,0.166,0.214,0.479,0.0,0.079
5,4,51,1,0.047,0.014,0.049,0.094,0.7959999999999999,0.0
1,4,52,1,0.213,0.0,0.13,0.084,0.4370000000000001,0.136
2,0,52,2,0.606,0.073,0.0,0.041,0.159,0.121
3,2,52,1,0.1689999999999999,0.186,0.3229999999999999,0.0,0.279,0.044
4,3,52,2,0.071,0.166,0.21,0.476,0.0,0.077
5,4,52,1,0.041,0.024,0.046,0.377,0.511,0.0
1,2,53,1,0.11,0.0,0.5539999999999999,0.107,0.13,0.099
2,0,53,2,0.569,0.06,0.0,0.024,0.223,0.124
3,2,53,1,0.193,0.213,0.289,0.0,0.261,0.044
4,3,53,2,0.057,0.159,0.211,0.499,0.0,0.074
5,4,53,1,0.034,0.021,0.056,0.254,0.634,0.0
1,4,54,1,0.156,0.0,0.187,0.127,0.421,0.109
2,0,54,2,0.45,0.061,0.0,0.033,0.347,0.109
3,4,54,1,0.177,0.2,0.27,0.0,0.311,0.041
4,3,54,2,0.049,0.156,0.22,0.501,0.0,0.074
5,4,54,1,0.043,0.019,0.041,0.401,0.496,0.0
1,2,55,1,0.161,0.0,0.306,0.143,0.291,0.099
2,0,55,2,0.434,0.059,0.0,0.039,0.36,0.109
3,2,55,1,0.114,0.119,0.5539999999999999,0.0,0.184,0.029
4,3,55,2,0.046,0.17,0.236,0.47,0.0,0.079
5,3,55,1,0.047,0.046,0.073,0.4970000000000001,0.337,0.0
1,2,56,1,0.123,0.0,0.444,0.196,0.163,0.074
2,0,56,2,0.51,0.063,0.0,0.031,0.281,0.114
3,2,56,1,0.107,0.116,0.607,0.0,0.141,0.029
4,3,56,2,0.043,0.214,0.284,0.379,0.0,0.08
5,3,56,1,0.054,0.067,0.103,0.534,0.241,0.0
1,2,57,1,0.086,0.0,0.6,0.109,0.116,0.09
2,0,57,2,0.637,0.07,0.0,0.03,0.134,0.129
3,2,57,1,0.091,0.114,0.619,0.0,0.147,0.029
4,3,57,2,0.05,0.194,0.274,0.411,0.0,0.07
5,4,57,1,0.04,0.016,0.097,0.104,0.743,0.0
1,0,58,1,0.269,0.0,0.206,0.173,0.151,0.201
2,0,58,2,0.606,0.067,0.0,0.039,0.156,0.133
3,2,58,1,0.084,0.114,0.65,0.0,0.123,0.029
4,3,58,2,0.027,0.227,0.336,0.337,0.0,0.073
5,4,58,1,0.053,0.041,0.073,0.306,0.527,0.0
1,2,59,1,0.243,0.0,0.3670000000000001,0.104,0.113,0.173
2,4,59,2,0.17,0.073,0.0,0.051,0.593,0.113
3,2,59,1,0.067,0.104,0.7,0.0,0.109,0.02
4,2,59,2,0.017,0.181,0.481,0.263,0.0,0.057
5,2,59,1,0.059,0.109,0.603,0.144,0.086,0.0
1,2,60,1,0.293,0.0,0.416,0.06,0.09,0.141
2,0,60,2,0.424,0.093,0.0,0.077,0.241,0.1639999999999999
3,2,60,1,0.063,0.114,0.7070000000000001,0.0,0.103,0.013
4,2,60,2,0.014,0.197,0.483,0.249,0.0,0.057
5,2,60,1,0.059,0.124,0.7170000000000001,0.043,0.057,0.0
1,0,61,1,0.411,0.0,0.284,0.073,0.097,0.134
2,0,61,2,0.629,0.087,0.0,0.057,0.094,0.133
3,2,61,1,0.129,0.147,0.514,0.0,0.173,0.037
4,2,61,2,0.034,0.216,0.444,0.247,0.0,0.059
5,2,61,1,0.109,0.237,0.517,0.061,0.076,0.0
1,0,62,1,0.443,0.0,0.201,0.097,0.107,0.151
2,0,62,2,0.389,0.087,0.0,0.071,0.316,0.1369999999999999
3,2,62,1,0.113,0.126,0.563,0.0,0.166,0.033
4,2,62,2,0.051,0.266,0.326,0.297,0.0,0.06
5,2,62,1,0.199,0.251,0.407,0.074,0.069,0.0
1,0,63,1,0.417,0.0,0.199,0.11,0.117,0.157
2,4,63,2,0.094,0.077,0.0,0.047,0.6559999999999999,0.126
3,2,63,1,0.157,0.183,0.424,0.0,0.194,0.041
4,3,63,2,0.063,0.259,0.27,0.33,0.0,0.079
5,2,63,1,0.073,0.141,0.6970000000000001,0.044,0.044,0.0
1,4,64,1,0.256,0.0,0.17,0.094,0.377,0.103
2,4,64,2,0.151,0.11,0.0,0.071,0.441,0.226
3,2,64,1,0.109,0.114,0.597,0.0,0.151,0.029
4,3,64,2,0.049,0.264,0.279,0.33,0.0,0.079
5,2,64,1,0.224,0.141,0.52,0.063,0.051,0.0
1,4,65,1,0.183,0.0,0.171,0.1,0.451,0.094
2,0,65,2,0.47,0.103,0.0,0.074,0.171,0.181
3,2,65,1,0.106,0.111,0.61,0.0,0.144,0.029
4,3,65,2,0.043,0.289,0.264,0.344,0.0,0.06
5,2,65,1,0.07,0.13,0.713,0.043,0.044,0.0
1,4,66,1,0.149,0.0,0.249,0.173,0.319,0.111
2,0,66,2,0.644,0.084,0.0,0.069,0.053,0.15
3,2,66,1,0.093,0.107,0.619,0.0,0.153,0.029
4,1,66,2,0.073,0.401,0.219,0.227,0.0,0.08
5,2,66,1,0.067,0.127,0.72,0.044,0.041,0.0
1,3,67,1,0.124,0.0,0.261,0.287,0.189,0.139
2,0,67,2,0.67,0.086,0.0,0.071,0.03,0.143
3,2,67,1,0.109,0.121,0.583,0.0,0.153,0.034
4,1,67,2,0.06,0.45,0.214,0.187,0.0,0.089
5,1,67,1,0.213,0.311,0.311,0.086,0.079,0.0
1,3,68,1,0.12,0.0,0.286,0.29,0.177,0.127
2,0,68,2,0.6709999999999999,0.086,0.0,0.071,0.029,0.143
3,2,68,1,0.106,0.114,0.609,0.0,0.143,0.029
4,3,68,2,0.09,0.264,0.257,0.294,0.0,0.094
5,0,68,1,0.293,0.27,0.236,0.119,0.083,0.0
1,2,69,1,0.136,0.0,0.343,0.213,0.184,0.124
2,0,69,2,0.649,0.091,0.0,0.069,0.049,0.143
3,2,69,1,0.101,0.11,0.62,0.0,0.14,0.029
4,3,69,2,0.101,0.213,0.296,0.306,0.0,0.084
5,2,69,1,0.144,0.143,0.5770000000000001,0.076,0.06,0.0
1,4,70,1,0.204,0.0,0.249,0.107,0.306,0.134
2,0,70,2,0.647,0.113,0.0,0.071,0.04,0.129
3,2,70,1,0.09,0.107,0.643,0.0,0.131,0.029
4,3,70,2,0.097,0.221,0.291,0.296,0.0,0.094
5,2,70,1,0.256,0.244,0.3229999999999999,0.094,0.083,0.0
1,0,71,1,0.381,0.0,0.319,0.063,0.127,0.11
2,0,71,2,0.677,0.081,0.0,0.069,0.039,0.134
3,0,71,1,0.404,0.117,0.326,0.0,0.133,0.02
4,0,71,2,0.53,0.129,0.151,0.13,0.0,0.06
5,0,71,1,0.556,0.22,0.109,0.051,0.064,0.0
1,0,72,1,0.309,0.0,0.247,0.091,0.18,0.173
2,0,72,2,0.6459999999999999,0.086,0.0,0.071,0.041,0.156
3,2,72,1,0.201,0.076,0.599,0.0,0.096,0.029
4,0,72,2,0.296,0.2,0.207,0.211,0.0,0.086
5,0,72,1,0.623,0.127,0.097,0.081,0.071,0.0
1,2,73,1,0.196,0.0,0.301,0.133,0.173,0.197
2,0,73,2,0.417,0.123,0.0,0.103,0.059,0.299
3,2,73,1,0.091,0.099,0.647,0.0,0.136,0.027
4,2,73,2,0.111,0.246,0.263,0.263,0.0,0.117
5,0,73,1,0.421,0.183,0.187,0.124,0.084,0.0
1,0,74,1,0.43,0.0,0.176,0.099,0.124,0.171
2,5,74,2,0.346,0.127,0.0,0.099,0.069,0.36
3,2,74,1,0.134,0.113,0.61,0.0,0.121,0.021
4,3,74,2,0.1689999999999999,0.236,0.24,0.254,0.0,0.101
5,0,74,1,0.494,0.1669999999999999,0.149,0.111,0.079,0.0
1,2,75,1,0.213,0.0,0.294,0.123,0.177,0.193
2,0,75,2,0.657,0.086,0.0,0.071,0.036,0.15
3,1,75,1,0.1,0.534,0.224,0.0,0.123,0.019
4,3,75,2,0.084,0.211,0.3,0.317,0.0,0.087
5,2,75,1,0.273,0.204,0.357,0.091,0.074,0.0
1,2,76,1,0.099,0.0,0.629,0.086,0.081,0.106
2,0,76,2,0.657,0.086,0.0,0.071,0.036,0.15
3,2,76,1,0.139,0.106,0.644,0.0,0.093,0.019
4,2,76,2,0.037,0.071,0.534,0.33,0.0,0.027
5,2,76,1,0.056,0.111,0.741,0.046,0.046,0.0
1,2,77,1,0.087,0.0,0.69,0.084,0.054,0.084
2,0,77,2,0.657,0.086,0.0,0.071,0.036,0.15
3,2,77,1,0.123,0.1689999999999999,0.504,0.0,0.1689999999999999,0.036
4,3,77,2,0.051,0.14,0.377,0.384,0.0,0.047
5,2,77,1,0.291,0.12,0.457,0.073,0.059,0.0
1,2,78,1,0.076,0.0,0.687,0.081,0.063,0.093
2,0,78,2,0.643,0.086,0.0,0.071,0.043,0.157
3,2,78,1,0.154,0.179,0.451,0.0,0.179,0.037
4,2,78,2,0.053,0.134,0.441,0.329,0.0,0.043
5,2,78,1,0.357,0.126,0.374,0.083,0.06,0.0
1,2,79,1,0.1369999999999999,0.0,0.606,0.08,0.079,0.099
2,0,79,2,0.61,0.083,0.0,0.067,0.101,0.139
3,2,79,1,0.19,0.151,0.514,0.0,0.123,0.021
4,2,79,2,0.127,0.127,0.377,0.327,0.0,0.041
5,2,79,1,0.289,0.154,0.42,0.076,0.061,0.0
1,0,80,1,0.403,0.0,0.1689999999999999,0.107,0.1369999999999999,0.184
2,0,80,2,0.659,0.094,0.0,0.071,0.041,0.134
3,2,80,1,0.327,0.113,0.414,0.0,0.11,0.036
4,0,80,2,0.463,0.279,0.094,0.13,0.0,0.034
5,0,80,1,0.596,0.146,0.117,0.076,0.066,0.0
1,0,81,1,0.383,0.0,0.193,0.11,0.127,0.187
2,0,81,2,0.527,0.087,0.0,0.074,0.177,0.134
3,2,81,1,0.159,0.15,0.4970000000000001,0.0,0.163,0.031
4,1,81,2,0.209,0.414,0.147,0.154,0.0,0.076
5,2,81,1,0.24,0.154,0.457,0.089,0.06,0.0
1,0,82,1,0.441,0.0,0.161,0.099,0.13,0.1689999999999999
2,4,82,2,0.163,0.099,0.0,0.096,0.373,0.27
3,2,82,1,0.153,0.176,0.464,0.0,0.174,0.033
4,1,82,2,0.071,0.486,0.171,0.166,0.0,0.106
5,0,82,1,0.5670000000000001,0.139,0.129,0.106,0.06,0.0
1,0,83,1,0.389,0.0,0.173,0.109,0.14,0.19
2,5,83,2,0.099,0.081,0.0,0.106,0.106,0.609
3,2,83,1,0.133,0.156,0.509,0.0,0.171,0.031
4,1,83,2,0.063,0.444,0.21,0.183,0.0,0.1
5,0,83,1,0.574,0.1369999999999999,0.121,0.106,0.061,0.0
1,2,84,1,0.234,0.0,0.374,0.09,0.191,0.11
2,5,84,2,0.193,0.109,0.0,0.093,0.223,0.383
